"","X","Year","Age","Female","Male","Total"
"4725",4725,2001,62,0.0165366794044348,0.0463512429606671,0.029358
"4726",4726,2001,63,0.0171498460280783,0.0453530306411311,0.029062
"4727",4727,2001,64,0.0205876145640666,0.052144966218463,0.032049
"4728",4728,2001,65,0.0218012228521296,0.0529076604975001,0.034382
"4729",4729,2001,66,0.0249783066417902,0.0594156422656803,0.036681
"4730",4730,2001,67,0.0276397613387063,0.0631025005303647,0.037608
"4731",4731,2001,68,0.027122076338899,0.0607884807149587,0.041008
"4732",4732,2001,69,0.0333528253144376,0.0699045655850664,0.044687
"4733",4733,2001,70,0.0334375098456285,0.0689370716536764,0.047594
"4734",4734,2001,71,0.038741315561606,0.0774910643583712,0.051002
"4735",4735,2001,72,0.0409414791053821,0.0801330797020848,0.054694
"4736",4736,2001,73,0.0471062286982587,0.0853614228788033,0.060136
"4737",4737,2001,74,0.0505378767864069,0.0883586481782424,0.062887
"4738",4738,2001,75,0.057650764791624,0.0977002160021374,0.067708
"4739",4739,2001,76,0.0630144187385734,0.0996802098654765,0.071958
"4740",4740,2001,77,0.0690331695957191,0.10629444805284,0.08019
"4741",4741,2001,78,0.076053293382991,0.113318998606871,0.082142
"4742",4742,2001,79,0.0869660054502107,0.117847843917038,0.092944
"4743",4743,2001,80,0.0979233442960659,0.139292304663921,0.103568
"4744",4744,2001,81,0.11142694659737,0.151244367204374,0.115424
"4745",4745,2001,82,0.0977060483649223,0.130054578538582,0.125556
"4746",4746,2001,83,0.146218063563615,0.186530425748548,0.132551
"4747",4747,2001,84,0.138713090949698,0.17620877499593,0.147602
"4748",4748,2001,85,0.152351466959266,0.187041848705659,0.162707
"4749",4749,2001,86,0.156775688551274,0.19088254732429,0.181606
"4750",4750,2001,87,0.18850858458884,0.214053729865398,0.200062
"4751",4751,2001,88,0.187130305124791,0.219828216351443,0.212919
"4752",4752,2001,89,0.233505494795743,0.254683976212401,0.242303
"4753",4753,2001,90,0.218131141767617,0.255271020739697,0.259976
